frame,infer_ms
0,22.870
1,50.790
2,24.379
3,24.770
4,24.788
5,24.947
6,24.977
7,24.763
8,24.599
9,24.836
10,24.393
11,24.474
12,24.300
13,24.733
14,24.618
15,24.940
16,24.669
17,23.995
18,24.034
19,24.924
20,24.394
21,24.858
22,24.890
23,24.548
24,24.895
25,24.512
26,24.145
27,25.013
28,24.792
29,24.746
30,23.770
31,23.883
32,24.482
33,23.943
34,24.004
35,24.738
36,23.910
37,24.922
38,24.221
39,24.089
40,24.633
41,25.014
42,24.740
43,24.386
44,24.838
45,23.942
46,24.186
47,25.058
48,24.726
49,24.320
50,25.012
51,24.875
52,24.035
53,24.477
54,24.752
55,24.219
56,24.105
57,24.122
58,24.882
59,24.823
60,24.533
61,24.473
62,24.660
63,24.682
64,24.769
65,24.663
66,24.438
67,25.112
68,24.918
69,24.943
70,24.181
71,24.380
72,25.399
73,25.124
74,24.981
75,24.390
76,25.557
77,24.395
78,25.216
79,24.236
80,24.081
81,24.216
82,24.023
83,24.856
84,23.923
85,24.840
86,24.062
87,24.996
88,24.674
89,24.900
90,24.504
91,24.456
92,24.171
93,24.261
94,24.820
95,25.334
96,24.162
97,24.525
98,24.557
99,24.316
100,24.883
101,24.922
102,24.736
103,25.043
104,24.044
105,24.050
106,23.939
107,24.600
108,24.699
109,24.195
110,23.805
111,23.912
112,24.160
113,24.838
114,23.853
115,24.246
116,25.004
117,24.673
118,23.712
119,24.195
120,23.960
121,24.737
122,24.711
123,23.923
124,24.693
125,24.606
126,24.757
127,24.094
128,24.701
129,24.207
130,24.203
131,24.882
132,24.775
133,24.826
134,24.833
135,24.957
136,23.828
137,24.096
138,24.652
139,24.823
140,23.884
141,24.063
142,24.011
143,24.097
144,24.598
145,24.088
146,24.800
147,28.248
148,24.430
149,24.704
150,23.865
151,24.791
152,24.624
153,24.023
154,24.692
155,24.882
156,23.930
157,24.983
158,24.729
159,24.936
160,24.670
161,24.912
162,23.819
163,24.671
164,23.802
165,24.724
166,24.860
167,25.030
168,24.940
169,24.870
170,24.148
171,24.799
172,23.765
173,24.653
174,24.402
175,23.848
176,24.554
177,24.640
178,24.614
179,42.428
180,23.962
181,24.017
182,24.606
183,24.885
184,24.186
185,24.754
186,24.615
187,24.804
188,24.055
189,24.697
190,23.973
191,24.713
192,24.554
193,24.570
194,23.973
195,24.189
196,24.613
197,23.897
198,23.771
199,24.734
200,24.422
201,24.484
202,24.069
203,24.739
204,24.847
205,24.008
206,24.836
207,24.648
208,23.720
209,23.910
210,24.914
211,24.659
212,24.894
213,24.642
214,24.669
215,24.864
216,23.895
217,24.547
218,24.136
219,24.219
220,24.571
221,24.919
222,24.694
223,24.740
224,24.644
225,24.858
226,24.728
227,24.698
228,24.136
229,25.078
230,24.764
231,23.892
232,23.844
233,24.571
234,24.556
235,24.720
236,24.735
237,24.096
238,23.957
239,24.420
240,24.660
241,23.800
242,24.595
243,23.731
244,24.602
245,23.774
246,24.500
247,24.619
248,24.764
249,24.100
250,24.644
251,24.206
252,24.567
253,24.901
254,24.798
255,23.821
256,24.601
257,24.717
258,24.770
259,24.120
260,24.786
261,24.630
262,24.563
263,24.585
264,24.524
265,24.519
266,24.106
267,24.668
268,23.978
269,24.750
270,24.554
271,23.761
272,24.795
273,24.128
274,24.102
275,24.592
276,24.690
277,24.165
278,24.465
279,24.641
280,24.732
281,24.602
282,23.884
283,24.775
284,24.098
285,23.936
286,24.191
287,24.552
288,24.041
289,23.973
290,24.838
291,24.078
292,23.789
293,24.134
294,24.120
295,23.953
296,24.799
297,23.891
298,24.685
299,24.563
300,24.639
301,24.705
302,23.994
303,24.106
304,24.598
305,24.569
306,23.913
307,23.767
308,24.118
309,24.896
310,24.845
311,24.610
312,24.658
313,24.664
314,24.078
315,23.892
316,24.100
317,24.965
318,24.012
319,24.799
320,24.238
321,24.240
322,24.141
323,24.003
324,24.852
325,24.781
326,23.844
327,24.420
328,24.099
329,23.828
330,24.021
331,23.838
332,24.765
333,25.315
334,24.288
335,24.023
336,23.925
337,23.922
338,24.088
339,24.094
340,24.303
341,24.858
342,24.797
343,24.058
344,23.850
345,24.651
346,24.029
347,24.134
348,24.848
349,24.681
350,23.741
351,24.640
352,23.954
353,24.758
354,24.102
355,24.003
356,23.759
357,24.107
358,24.020
359,24.671
360,24.846
361,24.624
362,23.992
363,23.784
364,24.846
365,24.033
366,23.844
367,25.009
368,24.890
369,24.024
370,23.835
371,24.680
372,24.844
373,23.893
374,24.107
375,23.913
376,24.019
377,24.093
378,24.207
379,24.549
380,23.915
381,24.890
382,24.523
383,24.680
384,24.739
385,24.128
386,24.726
387,24.183
388,24.529
389,24.403
390,24.903
391,24.065
392,23.749
393,24.076
394,24.257
395,23.985
396,24.111
397,24.569
398,24.828
399,23.930
400,24.822
401,24.637
402,24.597
403,24.675
404,24.238
405,24.760
406,23.782
407,24.592
408,24.091
409,24.472
410,24.705
411,24.726
412,23.894
413,23.939
414,24.747
415,24.758
416,24.705
417,25.033
418,24.271
419,24.780
420,24.705
421,24.817
422,23.999
423,24.804
424,24.770
425,24.532
426,23.870
427,24.778
428,24.033
429,24.615
430,23.908
431,24.091
432,24.879
433,24.868
434,24.095
435,24.214
436,24.952
437,24.679
438,24.754
439,24.717
440,23.904
441,24.970
442,24.815
443,24.702
444,24.817
445,24.726
446,24.795
447,24.372
448,24.745
449,24.563
450,24.727
451,24.637
452,24.722
453,25.138
454,24.603
455,23.954
456,24.633
457,24.616
458,23.754
459,24.015
460,24.717
461,24.659
462,24.794
463,24.841
464,24.704
465,24.447
466,24.551
467,24.842
468,23.946
469,23.815
470,23.846
471,24.395
472,24.875
473,24.776
474,24.356
475,24.961
476,23.989
477,24.756
478,24.818
479,24.200
480,24.869
481,24.858
482,24.659
483,24.823
484,24.766
485,24.680
486,24.801
487,24.614
488,24.699
489,24.448
490,24.924
491,24.694
492,24.235
493,24.687
494,24.750
495,24.647
496,24.710
497,24.771
498,23.938
499,24.568
500,24.996
501,23.926
502,24.706
503,24.118
504,24.702
505,24.609
506,24.816
507,24.130
508,24.021
509,24.273
510,24.771
511,24.623
512,23.901
513,23.868
514,23.968
515,24.716
516,24.669
517,23.951
518,24.852
519,24.686
520,24.763
521,24.121
522,23.866
523,23.969
524,24.907
525,24.935
526,24.980
527,24.632
528,24.159
529,24.641
530,24.320
531,24.667
532,25.023
533,24.699
534,24.771
535,24.988
536,24.816
537,24.671
538,24.847
539,24.316
540,24.731
541,24.803
542,24.429
543,24.239
544,24.758
545,24.355
546,23.737
547,23.583
548,24.400
549,24.377
550,24.505
551,24.293
552,24.157
553,23.732
554,23.609
555,23.660
556,23.563
557,24.216
558,24.404
559,23.417
560,24.351
561,24.326
562,24.625
563,23.803
564,24.598
565,24.602
566,23.590
567,24.476
568,24.732
569,24.764
570,23.939
571,24.337
572,24.256
573,24.262
574,24.538
575,23.589
576,24.437
577,24.363
578,23.924
579,23.778
580,23.742
581,24.283
582,23.594
583,23.573
584,24.264
585,23.467
586,23.984
587,24.289
588,24.233
589,23.459
590,24.414
591,24.258
592,23.635
593,24.306
594,24.421
595,23.535
596,24.294
597,23.831
598,24.005
599,24.205
600,23.562
601,24.326
602,24.368
603,24.369
604,23.659
605,23.529
606,24.248
607,24.376
608,24.265
609,24.293
610,23.890
611,24.282
612,23.639
613,24.376
614,24.274
615,23.761
616,24.328
617,24.572
618,24.276
619,24.375
620,24.406
621,24.323
622,24.584
623,24.346
624,23.622
625,23.783
626,23.588
627,24.248
628,23.882
629,23.657
630,24.219
631,24.307
632,24.422
633,24.648
634,24.114
635,23.829
636,23.634
637,23.809
638,23.685
639,23.810
640,23.443
641,24.375
642,24.256
643,24.268
644,24.375
645,24.191
646,23.555
647,24.255
648,24.298
649,24.105
650,24.527
651,24.450
652,23.675
653,24.261
654,23.797
655,24.284
656,23.556
657,24.234
658,24.094
659,24.490
660,24.286
661,24.230
662,23.748
663,23.395
664,24.300
665,24.225
666,23.365
667,23.871
668,24.295
