frame,infer_ms
0,52.329
1,24.397
2,24.420
3,25.285
4,23.999
5,25.073
6,25.187
7,24.846
8,24.277
9,24.953
10,24.721
11,24.023
12,24.007
13,24.159
14,23.860
15,24.470
16,23.989
17,24.031
18,24.646
19,24.046
20,23.819
21,24.578
22,24.742
23,24.787
24,24.367
25,25.075
26,24.849
27,23.771
28,24.704
29,24.948
30,24.483
31,24.004
32,23.775
33,24.231
34,24.618
35,24.851
36,24.599
37,24.078
38,24.902
39,24.944
40,24.706
41,24.821
42,24.931
43,23.859
44,24.664
45,24.705
46,23.860
47,24.450
48,24.759
49,23.727
50,24.801
51,23.915
52,24.693
53,24.596
54,24.838
55,24.651
56,24.860
57,24.288
58,24.746
59,24.858
60,24.755
61,24.750
62,24.681
63,23.835
64,24.665
65,24.681
66,23.703
67,24.681
68,23.865
69,24.838
70,24.616
71,24.168
72,24.025
73,23.885
74,24.048
75,24.125
76,24.742
77,24.659
78,24.663
79,23.839
80,24.791
81,24.950
82,24.918
83,24.914
84,23.888
85,24.060
86,24.827
87,24.844
88,25.035
89,23.842
90,24.664
91,24.054
92,24.055
93,24.153
94,24.783
95,25.141
96,24.006
97,25.089
98,24.144
99,25.744
100,29.088
101,34.649
102,27.195
103,26.244
104,24.631
105,24.385
106,24.514
107,24.618
108,23.822
109,23.572
110,24.965
111,25.446
112,25.243
113,26.309
114,24.497
115,24.144
116,24.491
117,24.004
118,24.165
119,24.618
120,24.248
121,24.253
122,24.311
123,24.922
124,33.054
125,25.764
126,24.744
127,24.889
128,25.265
129,24.525
130,24.593
131,24.601
132,23.809
133,23.935
134,24.189
135,24.786
136,23.778
137,23.751
138,24.275
139,24.712
140,24.917
141,24.412
142,24.610
143,24.292
144,23.968
145,24.039
146,24.880
147,24.864
148,23.693
149,24.190
150,24.477
151,23.878
152,23.961
153,24.602
154,24.651
155,24.333
156,24.320
157,23.553
158,24.535
159,23.670
160,24.568
161,23.657
162,23.477
163,24.302
164,25.075
165,26.366
166,25.157
167,25.071
168,23.917
169,23.837
170,24.613
171,24.027
172,24.745
173,24.814
174,23.784
175,25.244
176,24.774
177,23.963
178,24.046
179,42.135
180,23.748
181,24.369
182,24.467
183,24.517
184,24.410
185,24.311
186,24.650
187,24.332
188,24.530
189,24.386
190,24.498
191,23.482
192,24.559
193,24.519
194,23.608
195,24.641
196,24.606
197,27.260
198,27.650
199,24.211
200,24.324
201,24.376
202,24.896
203,24.400
204,25.965
205,24.313
206,24.205
207,24.283
208,25.051
209,25.330
210,32.242
211,24.559
212,24.571
213,24.298
214,23.795
215,23.407
216,24.113
217,23.918
218,24.276
219,23.622
220,24.211
221,23.588
222,24.258
223,24.343
224,24.410
225,24.432
226,23.634
227,24.143
228,23.503
229,23.491
230,23.516
231,24.302
232,24.260
233,24.239
234,24.427
235,24.259
236,24.580
237,24.293
238,24.653
239,24.778
240,24.907
241,23.873
242,24.160
243,23.642
244,23.504
245,23.794
246,24.234
247,24.329
248,23.754
249,23.415
250,24.196
251,24.191
252,24.066
253,24.069
254,23.687
255,24.300
256,23.287
257,23.509
258,24.155
259,24.107
260,24.396
261,23.551
262,24.169
263,24.232
264,24.231
265,24.207
266,23.396
267,24.127
268,24.378
269,23.301
270,23.460
271,24.667
272,24.263
273,24.103
274,24.239
275,24.224
276,24.222
277,24.297
278,23.528
279,23.654
280,24.239
281,24.326
282,23.528
283,23.531
284,24.371
285,23.424
286,23.651
287,24.129
288,23.876
289,24.392
290,24.333
291,23.634
292,24.201
293,24.098
294,23.767
295,23.551
296,23.899
297,24.363
298,24.167
299,24.121
300,23.424
301,24.373
302,23.453
303,24.255
304,24.525
305,24.707
306,24.332
307,23.698
308,23.826
309,24.247
310,23.831
311,24.240
312,23.461
313,24.393
314,24.337
315,24.349
316,24.284
317,23.519
318,24.379
319,24.293
320,24.639
321,24.297
322,24.359
323,23.578
324,24.223
325,24.325
326,24.486
327,23.639
328,24.234
329,24.236
330,23.488
331,23.446
332,23.688
333,24.411
334,23.598
335,23.412
336,24.384
337,23.604
338,24.118
339,23.527
340,23.775
341,24.268
342,24.372
343,23.554
344,23.925
345,23.554
346,24.435
347,24.160
348,23.699
349,23.390
350,23.507
351,23.386
352,23.568
353,24.290
354,24.292
355,24.428
356,23.544
357,24.410
358,24.334
359,23.853
360,23.758
361,23.592
362,23.676
363,23.662
364,24.464
365,24.319
366,24.246
367,23.455
368,24.441
369,23.623
370,24.176
371,24.265
372,24.268
373,23.415
374,23.639
375,23.542
376,23.531
377,24.186
378,24.355
379,23.476
380,24.372
381,24.626
382,23.550
383,24.307
384,24.400
385,24.387
386,24.607
387,24.417
388,24.157
389,24.312
390,23.615
391,24.321
392,24.351
393,24.425
394,24.264
395,24.212
396,23.640
397,24.424
398,24.486
399,23.580
400,24.262
401,24.413
402,23.583
403,23.646
404,24.426
405,24.548
406,24.021
407,24.310
408,24.267
409,24.006
410,23.841
411,23.592
412,24.236
413,23.578
414,24.371
415,24.397
416,24.330
417,23.605
418,24.311
419,24.359
420,24.483
421,24.329
422,24.503
423,24.310
424,24.277
425,24.262
426,24.277
427,23.469
428,24.336
429,24.471
430,23.433
431,23.839
432,23.799
433,24.208
434,24.316
435,24.497
436,23.480
437,24.385
438,24.272
439,24.361
440,24.343
441,23.594
442,23.724
443,24.377
444,24.265
445,24.270
446,24.478
447,24.228
448,24.222
449,24.407
450,24.461
