frame,infer_ms
0,37.502
1,19.772
2,19.929
3,19.965
4,51.092
5,24.296
6,24.661
7,24.497
8,24.601
9,24.205
10,24.735
11,24.367
12,24.607
13,24.737
14,24.593
15,24.599
16,24.567
17,24.686
18,24.006
19,23.730
20,23.732
21,24.555
22,24.687
23,24.516
24,24.731
25,24.805
26,24.672
27,24.713
28,23.817
29,24.422
30,24.609
31,24.609
32,24.592
33,24.544
34,24.613
35,24.050
36,24.526
37,24.936
38,24.629
39,24.473
40,23.888
41,24.901
42,24.753
43,24.363
44,24.715
45,24.796
46,24.390
47,24.512
48,24.580
49,24.863
50,24.816
51,24.646
52,23.691
53,24.498
54,24.931
55,24.718
56,23.725
57,24.672
58,23.769
59,24.716
60,24.592
61,24.876
62,24.774
63,23.819
64,24.539
65,24.948
66,24.564
67,24.652
68,24.619
69,24.512
70,24.446
71,24.551
72,23.850
73,24.105
74,24.540
75,24.520
76,24.738
77,24.812
78,24.731
79,23.952
80,23.952
81,24.562
82,24.720
83,24.325
84,24.592
85,24.015
86,24.894
87,24.911
88,23.935
89,24.646
90,24.621
91,24.798
92,24.422
93,24.580
94,24.622
95,24.831
96,24.623
97,24.209
98,24.581
99,24.017
100,24.512
101,23.854
102,23.850
103,24.754
104,23.905
105,24.579
106,24.804
107,24.151
108,24.563
109,24.822
110,23.905
111,23.857
112,23.922
113,24.616
114,23.661
115,24.668
116,24.840
117,24.827
118,23.823
119,24.774
120,24.932
121,24.128
122,24.328
123,24.199
124,23.451
125,24.302
126,24.116
127,24.165
128,24.343
129,24.258
130,23.371
131,23.580
132,24.205
133,23.840
134,23.860
135,24.171
136,24.317
137,24.174
138,24.123
139,23.711
140,24.419
141,23.605
142,24.399
143,24.133
144,24.487
145,24.570
146,24.554
147,24.201
148,24.293
149,23.492
150,24.337
151,24.373
152,24.376
153,24.119
154,24.311
155,24.212
156,24.339
157,24.379
158,23.382
159,24.213
160,23.493
161,24.368
162,24.243
163,24.384
164,23.347
165,24.338
166,24.311
167,23.995
168,23.510
169,24.032
170,24.241
171,23.939
172,24.179
173,24.194
174,24.211
175,23.578
176,23.895
177,24.184
178,24.241
179,24.170
180,24.219
181,42.639
182,24.317
183,23.512
184,24.438
185,23.751
186,24.427
187,24.615
188,23.880
189,23.924
190,24.658
191,24.367
192,24.417
193,23.682
194,25.945
195,25.015
196,25.189
197,25.126
198,23.947
199,24.861
200,24.437
201,24.185
202,25.109
203,25.214
204,24.969
205,26.641
206,24.395
207,24.329
208,25.276
209,24.285
210,23.990
211,24.079
212,23.881
213,24.587
214,24.332
215,24.304
216,24.433
217,26.300
218,24.425
219,23.919
220,25.581
221,23.867
222,24.855
223,24.287
224,25.482
225,25.576
226,24.700
227,25.706
228,25.736
229,25.519
230,25.045
231,24.766
232,25.487
233,25.669
234,25.532
235,25.692
236,26.259
237,25.662
238,26.014
239,25.267
240,26.281
241,25.879
242,25.447
243,24.836
244,25.116
245,25.447
246,25.759
247,25.976
248,25.410
249,25.427
250,25.450
251,25.641
252,26.334
253,25.943
254,26.629
255,25.373
256,25.401
257,25.450
258,26.236
259,30.043
260,26.970
261,25.665
262,26.323
263,25.017
264,25.636
265,25.018
266,25.846
267,25.591
268,25.134
269,24.726
270,25.068
271,25.553
272,25.257
273,26.064
274,25.931
275,25.076
276,25.982
277,25.966
278,25.541
279,26.058
280,25.911
281,26.737
282,25.316
283,35.089
284,26.500
285,27.090
286,28.742
287,25.614
288,25.737
289,33.612
290,30.096
291,25.019
292,25.749
293,26.291
294,27.324
295,26.746
296,24.995
297,26.285
298,25.711
299,27.102
300,25.484
301,25.701
302,26.508
303,25.876
304,26.413
305,24.996
306,33.208
307,27.496
308,25.327
309,25.577
310,25.237
311,25.105
312,25.214
313,25.417
314,25.976
315,25.887
316,25.608
317,25.755
318,25.180
319,26.564
320,25.674
321,26.188
322,26.108
323,26.164
324,26.206
325,26.387
326,24.364
327,24.529
328,24.144
329,25.186
330,26.522
331,27.286
332,24.897
333,26.474
334,28.638
335,25.990
336,27.186
337,25.443
338,24.049
339,24.051
340,24.913
341,26.227
342,25.699
343,33.597
344,24.918
345,26.729
346,26.697
347,25.350
348,25.955
349,33.510
350,25.223
351,25.847
352,26.071
353,26.336
354,27.489
355,27.629
356,25.952
357,26.029
358,26.359
359,26.216
360,26.734
361,25.381
362,25.178
