frame,infer_ms
0,65.786
1,52.240
2,52.274
3,52.288
4,52.374
5,52.534
6,52.223
7,52.183
8,52.423
9,53.101
10,52.293
11,52.213
12,52.433
13,52.519
14,52.355
15,52.610
16,52.351
17,52.257
18,52.701
19,52.134
20,52.587
21,52.246
22,52.429
23,52.183
24,52.239
25,52.113
26,52.131
27,52.189
28,52.667
29,52.269
30,52.265
31,52.414
32,52.380
33,52.136
34,52.247
35,52.344
36,52.296
37,53.104
38,52.362
39,52.239
40,52.169
41,52.232
42,52.180
43,52.247
44,52.258
45,52.476
46,52.556
47,52.785
48,52.259
49,52.196
50,52.235
51,52.333
52,52.194
53,52.199
54,52.127
55,52.205
56,52.663
57,52.410
58,52.341
59,52.874
60,52.877
61,52.882
62,52.591
63,52.576
64,52.602
65,53.023
66,52.793
67,52.590
68,52.584
69,52.519
70,52.547
71,52.597
72,52.530
73,52.724
74,52.579
75,52.945
76,52.544
77,52.744
78,52.597
79,52.585
80,52.562
81,52.690
82,52.611
83,52.466
84,53.080
85,52.634
86,52.542
87,52.482
88,52.520
89,52.560
90,52.549
91,52.544
92,52.479
93,52.710
94,53.023
95,52.571
96,52.541
97,52.649
98,52.576
99,52.538
100,52.420
101,52.438
102,52.491
103,52.953
104,52.476
105,52.577
106,52.992
107,52.636
108,52.726
109,52.691
110,52.526
111,52.628
112,52.880
113,52.708
114,52.625
115,52.562
116,52.675
117,52.585
118,52.490
119,52.808
120,52.530
121,52.648
122,52.995
123,52.569
124,52.545
125,52.410
126,52.403
127,52.480
128,52.381
129,52.792
130,52.408
131,53.263
132,52.688
133,52.698
134,52.952
135,52.948
136,52.666
137,52.463
138,52.476
139,52.504
140,52.504
141,53.172
142,52.850
143,52.604
144,52.544
145,52.563
146,52.731
147,52.643
148,52.573
149,52.624
150,53.029
151,52.637
152,53.116
153,52.686
154,52.697
155,52.534
156,52.505
157,52.783
158,52.481
159,52.754
160,52.638
161,52.638
162,52.582
163,52.435
164,52.478
165,52.448
166,52.610
167,52.491
168,52.577
169,53.170
170,52.585
171,52.512
172,52.548
173,52.552
174,52.524
175,52.480
176,52.571
177,52.510
178,53.192
179,52.717
180,52.906
181,52.568
182,52.439
183,53.512
184,52.973
185,52.618
186,52.537
187,52.695
188,52.600
189,52.696
190,52.373
191,52.582
192,52.563
193,52.840
194,52.717
195,52.549
196,52.585
197,52.951
198,52.979
199,52.496
200,52.542
201,52.629
202,52.593
203,52.720
204,52.844
205,52.630
206,53.189
207,52.687
208,52.400
209,52.901
210,52.553
211,52.672
212,52.716
213,52.588
214,52.412
215,52.571
216,53.138
217,52.574
218,52.567
219,53.120
220,53.173
221,52.707
222,53.033
223,52.827
224,52.965
225,53.487
226,53.000
227,52.913
228,52.687
229,52.830
230,53.004
231,53.193
232,52.995
233,52.966
234,53.691
235,54.237
236,52.947
237,53.536
238,53.529
239,53.023
240,52.662
241,53.154
242,52.524
243,54.876
244,53.222
245,52.858
246,52.950
247,52.887
248,52.699
249,52.807
250,53.172
251,52.893
252,52.800
253,52.969
254,53.304
255,52.917
256,52.657
257,52.997
258,52.700
259,52.919
260,52.743
261,52.879
262,53.317
263,52.732
264,53.547
265,52.769
266,53.481
267,52.716
268,52.666
269,52.439
270,52.644
271,53.025
272,52.529
273,52.487
274,52.565
275,52.472
276,52.620
277,52.408
278,52.525
279,52.508
280,52.559
281,53.047
282,53.050
283,52.714
284,53.088
285,52.925
286,53.169
287,52.821
288,52.920
289,53.056
290,53.291
291,52.664
292,52.469
293,52.478
294,52.514
295,52.626
296,52.473
297,52.428
298,52.694
299,53.075
300,52.384
301,52.522
302,52.565
303,52.526
304,52.452
305,52.549
306,52.597
307,52.812
308,52.497
309,52.962
310,52.666
311,52.468
312,52.495
313,52.540
314,52.408
315,52.456
316,52.758
317,52.460
318,53.058
319,52.404
320,52.472
321,52.629
322,52.795
323,52.578
324,52.559
325,52.726
326,52.611
327,52.778
328,52.694
329,52.843
330,52.644
331,52.672
332,52.627
333,52.557
334,52.524
335,52.596
336,52.498
337,53.111
338,52.568
339,52.647
340,52.506
341,52.515
342,52.557
343,52.636
344,52.572
345,52.412
346,52.855
347,52.586
348,52.511
349,52.377
350,52.512
351,52.589
352,52.513
353,52.538
354,52.639
355,52.661
356,52.968
357,52.697
358,52.569
359,52.504
360,52.555
361,52.549
362,52.631
363,52.616
364,52.548
365,53.136
366,52.516
367,52.507
368,52.716
369,52.509
370,52.594
371,52.551
372,52.638
373,52.736
374,53.236
375,52.616
376,52.586
377,52.472
378,52.515
379,52.554
380,52.436
381,52.457
382,52.556
383,52.463
384,53.290
385,53.452
386,54.058
387,52.840
388,52.857
389,52.764
390,52.846
391,53.422
392,52.778
393,53.483
394,53.190
395,52.779
396,53.095
397,52.757
398,52.830
399,52.704
400,53.204
401,52.880
402,53.097
403,52.912
404,52.880
405,53.054
406,52.867
407,52.863
408,52.776
409,52.987
410,53.233
411,52.997
412,53.414
413,52.951
414,52.905
415,53.025
416,52.857
417,53.058
418,53.266
419,53.031
420,53.276
421,53.929
422,53.119
423,53.351
424,53.233
425,53.462
426,52.880
427,52.987
428,52.878
429,52.856
430,53.414
431,52.758
432,52.895
433,52.999
434,52.959
435,52.679
436,52.899
437,53.037
438,52.747
439,52.867
440,53.518
441,52.856
442,52.885
443,53.002
444,52.862
445,52.981
446,52.865
447,52.670
448,52.736
449,53.276
450,52.900
451,52.856
452,52.843
453,53.067
454,52.921
455,52.777
456,52.795
457,52.965
458,53.343
459,52.881
460,53.102
461,53.090
462,52.852
463,52.745
464,52.855
465,52.837
466,52.917
467,52.894
468,53.129
469,52.891
470,52.872
471,52.697
472,52.980
473,53.024
474,52.875
475,53.022
476,52.942
477,53.361
478,52.810
479,52.885
480,52.826
481,52.841
482,52.841
483,52.877
484,52.897
485,52.876
486,53.461
487,52.934
488,52.816
489,53.002
490,52.880
491,53.018
492,52.744
493,52.795
494,52.847
495,52.819
496,53.124
497,52.749
498,52.795
499,52.760
500,52.870
501,52.729
502,52.685
503,52.866
504,53.121
505,53.342
506,52.860
507,52.948
508,52.947
509,52.737
510,52.849
511,52.779
512,52.883
513,53.110
514,53.387
515,52.874
516,52.845
517,52.903
518,52.813
519,52.828
520,52.870
521,52.825
