frame,infer_ms
0,62.877
1,52.233
2,52.441
3,52.490
4,52.529
5,52.113
6,52.542
7,52.316
8,52.296
9,52.323
10,52.230
11,52.463
12,52.254
13,52.358
14,52.416
15,52.252
16,52.470
17,52.940
18,52.736
19,52.565
20,52.513
21,52.998
22,52.418
23,52.511
24,52.578
25,52.544
26,52.441
27,52.412
28,52.722
29,52.540
30,52.854
31,52.476
32,52.822
33,52.703
34,52.521
35,52.527
36,52.602
37,52.644
38,54.188
39,52.613
40,52.814
41,52.497
42,52.434
43,52.608
44,52.669
45,52.502
46,52.353
47,52.711
48,52.645
49,52.865
50,52.506
51,52.366
52,52.516
53,52.588
54,52.467
55,52.388
56,52.521
57,52.608
58,52.957
59,52.684
60,52.391
61,52.501
62,52.598
63,52.385
64,52.434
65,52.411
66,52.627
67,52.534
68,52.883
69,52.664
70,52.744
71,52.451
72,52.453
73,52.535
74,52.497
75,52.348
76,52.444
77,52.974
78,52.458
79,52.683
80,52.574
81,52.390
82,52.547
83,52.461
84,52.273
85,52.381
86,52.496
87,52.923
88,52.693
89,52.528
90,52.642
91,52.607
92,52.514
93,52.457
94,52.305
95,52.406
96,52.950
97,52.632
98,52.345
99,52.520
100,52.512
101,52.422
102,52.404
103,52.360
104,52.478
105,53.408
106,53.748
107,52.413
108,52.371
109,52.549
110,52.472
111,52.542
112,52.485
113,52.406
114,52.431
115,52.953
116,52.406
117,52.361
118,52.414
119,52.430
120,52.600
121,52.390
122,52.434
123,52.619
124,52.880
125,52.257
126,52.477
127,52.730
128,52.496
129,52.678
130,52.352
131,52.547
132,52.480
133,52.629
134,53.116
135,52.644
136,52.435
137,52.469
138,52.509
139,52.352
140,52.340
141,52.514
142,52.838
143,54.032
144,52.784
145,52.944
146,53.481
147,52.581
148,52.944
149,52.639
150,52.726
151,52.628
152,53.345
153,52.565
154,52.978
155,52.839
156,53.016
157,52.817
158,52.828
159,53.283
160,52.902
161,53.121
162,53.663
163,52.711
164,52.608
165,52.641
166,52.829
167,52.849
168,52.958
169,53.388
170,52.498
171,53.148
172,52.511
173,52.755
174,52.506
175,52.427
176,52.612
177,52.684
178,52.836
179,52.714
180,53.166
181,52.786
182,52.990
183,52.815
184,52.879
185,52.753
186,52.931
187,54.155
188,53.467
189,52.639
190,52.522
191,52.746
192,52.824
193,52.712
194,52.495
195,52.486
196,52.541
197,52.461
198,52.525
199,53.025
200,52.621
201,52.424
202,52.647
203,52.918
204,52.720
205,53.013
206,52.746
207,53.425
208,53.291
209,52.883
210,52.997
211,53.511
212,52.675
213,52.718
214,52.646
215,52.466
216,52.416
217,52.654
218,52.470
219,52.537
220,52.447
221,52.621
222,52.389
223,52.243
224,52.583
225,52.404
226,52.595
227,53.049
228,53.023
229,52.381
230,52.381
231,52.529
232,52.440
233,52.686
234,52.513
235,52.486
236,53.199
237,52.607
238,52.329
239,52.391
240,52.476
241,52.492
242,52.785
243,52.659
244,52.541
245,52.486
246,53.121
247,52.725
248,52.490
249,52.741
250,52.518
251,52.560
252,52.415
253,52.503
254,52.468
255,52.974
256,52.847
257,52.545
258,52.487
259,52.446
260,52.398
261,52.483
262,52.292
263,52.329
264,52.623
265,52.377
266,52.568
267,52.596
268,52.477
269,52.426
270,52.449
271,52.593
272,52.286
273,53.125
274,52.990
275,52.571
276,52.378
277,52.625
278,52.405
279,52.350
280,52.718
281,52.668
282,52.462
283,52.878
284,52.595
285,52.468
286,52.422
287,52.489
288,52.670
289,52.470
290,52.451
291,52.345
292,52.471
293,52.971
294,52.334
295,52.436
296,52.906
