frame,infer_ms
0,2507.386
1,40.118
2,38.428
3,37.321
4,36.813
5,37.412
6,36.985
7,31.228
8,31.507
9,32.516
10,31.709
11,30.959
12,31.783
13,32.249
14,31.213
15,30.780
16,32.993
17,32.221
18,32.361
19,30.696
20,31.897
21,33.563
22,30.992
23,30.936
24,31.922
25,32.344
26,33.599
27,33.367
28,35.116
29,33.517
30,31.279
31,32.730
32,32.963
33,31.992
34,32.174
35,32.531
36,31.216
37,31.244
38,31.655
39,31.303
40,31.890
41,31.124
42,31.486
43,34.070
44,31.799
45,32.474
46,31.933
47,33.754
48,31.778
49,32.658
50,31.779
51,32.092
52,30.591
53,31.483
54,32.428
55,31.502
56,33.240
57,43.516
58,35.367
59,33.476
60,32.179
61,31.912
62,31.842
63,32.040
64,32.356
65,32.448
66,31.667
67,35.511
68,30.613
69,32.822
70,32.804
71,32.169
72,31.117
73,31.931
74,33.050
75,31.949
76,32.814
77,32.356
78,30.846
79,31.675
80,31.642
81,32.532
82,31.500
83,31.607
84,31.350
85,31.842
86,31.003
87,30.767
88,32.324
89,31.961
90,32.115
91,32.185
92,30.923
93,30.786
94,30.724
95,31.112
96,32.192
97,32.368
98,32.255
99,32.669
100,32.422
101,32.618
102,31.865
103,33.337
104,31.417
105,31.081
106,31.951
107,32.402
108,32.350
109,31.345
110,31.610
111,31.263
112,32.221
113,31.799
114,31.040
115,33.144
116,32.149
117,32.173
118,32.194
119,32.926
120,32.663
121,33.766
122,33.796
123,34.546
124,51.298
125,34.122
126,32.418
127,32.544
128,33.069
129,32.185
130,32.729
131,33.372
132,32.026
133,38.249
134,32.470
135,32.469
136,33.179
137,34.242
138,33.438
139,33.372
140,32.968
141,33.555
142,32.134
143,32.235
144,31.546
145,32.421
146,33.430
147,32.561
148,35.132
149,33.222
150,31.605
151,34.245
152,32.560
153,33.171
154,33.214
155,32.352
156,32.345
157,31.588
158,32.458
159,32.787
160,32.433
161,32.212
162,31.756
163,32.016
164,31.998
165,32.447
166,32.125
167,31.706
168,33.437
169,30.783
170,31.804
171,32.551
172,32.348
173,32.564
174,33.342
175,32.642
176,35.555
177,33.954
178,32.246
179,33.203
180,32.132
181,32.436
182,33.017
183,32.161
184,32.709
185,32.764
186,32.764
187,32.056
188,31.933
189,32.597
190,32.709
191,32.078
192,32.678
193,33.101
194,31.909
195,32.605
196,32.580
197,32.611
198,31.146
199,34.045
200,33.742
201,33.269
202,33.300
203,32.906
204,34.090
205,33.089
206,37.706
207,33.188
208,33.227
209,32.145
210,32.105
211,31.979
212,32.111
213,31.676
214,31.311
215,32.433
216,33.426
217,32.329
218,32.144
219,32.981
220,33.187
221,32.005
222,32.381
223,32.563
224,32.611
225,33.138
226,34.117
227,33.945
228,33.161
229,33.157
230,31.485
231,32.574
232,31.881
233,34.516
234,33.494
235,34.301
236,34.058
237,32.767
238,33.552
239,33.220
240,32.673
241,31.685
242,34.112
243,32.982
244,32.467
245,34.070
246,32.961
247,33.897
248,33.949
249,33.219
250,33.670
251,32.972
252,33.737
253,32.932
254,32.124
255,32.085
256,32.288
257,32.293
258,31.405
259,31.733
260,31.138
261,32.389
262,32.669
263,31.163
264,30.589
265,31.109
266,32.506
267,31.398
268,31.925
269,31.116
270,31.963
271,33.355
272,32.351
273,31.689
274,32.397
275,32.226
276,32.015
277,33.323
278,33.663
279,31.354
280,31.958
281,32.292
282,31.220
283,31.641
284,31.433
285,31.953
286,31.860
287,32.023
288,31.674
289,32.703
290,32.345
291,32.131
292,35.593
293,32.105
294,31.640
295,32.416
296,32.603
297,34.745
298,32.098
299,33.181
300,32.009
301,31.744
302,32.190
303,32.007
304,31.967
305,31.512
306,44.227
307,33.553
308,34.344
309,30.680
310,32.714
311,31.318
312,31.881
313,31.311
314,32.164
315,33.040
316,32.699
317,31.129
318,31.955
319,34.806
320,32.211
321,35.136
322,33.473
323,33.592
324,33.006
325,33.952
326,33.281
327,32.346
328,31.116
329,31.884
330,31.652
331,32.732
332,31.604
333,32.099
334,32.442
335,31.114
336,31.496
337,33.424
338,32.026
339,33.173
340,32.950
341,32.177
342,30.531
343,31.319
344,32.041
345,32.705
346,31.929
347,33.024
348,31.870
349,32.755
350,30.895
351,31.541
352,31.833
353,30.761
354,31.681
355,32.536
356,33.643
357,33.121
358,32.685
359,30.933
360,32.223
361,31.901
362,30.842
363,31.926
364,31.394
365,32.131
366,32.435
367,31.378
368,32.036
369,33.268
370,32.946
371,32.537
372,31.773
373,34.173
374,31.992
375,32.040
376,34.170
377,31.906
378,31.729
379,31.419
380,33.767
381,34.780
382,33.431
383,34.095
384,33.228
385,32.865
386,31.596
387,32.275
388,31.445
389,32.827
390,32.620
391,34.041
392,32.641
393,33.306
394,31.943
395,31.757
396,30.841
397,32.151
398,32.537
399,32.430
400,33.248
401,31.223
402,31.066
403,33.259
404,32.404
405,31.654
406,31.930
407,31.663
408,31.424
409,34.084
410,34.216
411,34.206
412,31.453
413,31.031
414,31.709
415,33.644
416,31.541
417,31.937
418,37.615
419,30.689
420,31.872
421,31.398
422,33.323
423,33.188
424,33.050
425,32.235
426,32.097
427,33.262
428,32.887
429,31.879
430,33.253
431,32.427
432,31.746
433,32.626
434,31.856
435,31.680
436,32.457
437,32.385
438,32.640
439,32.195
440,31.756
441,31.777
442,32.547
443,30.736
444,31.666
445,30.555
446,31.702
447,31.388
448,32.305
449,32.668
450,32.279
451,31.925
452,32.667
453,32.135
454,32.663
455,32.062
456,33.303
457,32.347
458,31.953
459,32.486
460,31.189
461,31.254
462,32.640
463,35.850
464,33.363
465,32.696
466,34.386
467,32.661
468,32.334
469,32.743
470,32.505
471,32.128
472,31.428
473,31.814
474,32.894
475,31.512
476,31.216
477,31.915
478,31.608
479,33.179
480,31.474
481,31.185
482,33.153
483,31.381
484,31.319
485,30.632
486,31.608
487,31.101
488,31.591
489,34.709
490,33.642
491,32.682
492,32.265
493,32.085
494,31.983
495,33.145
496,32.517
497,46.673
498,33.449
499,31.495
500,31.381
501,31.031
502,30.958
503,31.361
504,30.966
505,31.745
506,31.713
507,31.698
508,33.342
509,32.634
510,32.381
511,31.290
512,32.782
513,32.725
514,31.525
515,32.601
