frame,infer_ms
0,2492.247
1,35.300
2,36.254
3,34.507
4,31.417
5,32.003
6,31.782
7,32.482
8,32.354
9,30.744
10,31.980
11,31.025
12,30.527
13,31.207
14,31.899
15,32.448
16,31.918
17,31.886
18,32.388
19,31.277
20,30.945
21,30.988
22,33.275
23,31.670
24,31.785
25,32.092
26,31.768
27,31.153
28,32.403
29,31.404
30,31.873
31,30.774
32,31.934
33,31.073
34,30.788
35,32.329
36,35.444
37,32.672
38,32.319
39,31.969
40,32.989
41,31.554
42,32.721
43,32.644
44,30.335
45,31.246
46,32.570
47,31.540
48,36.006
49,31.353
50,32.175
51,31.180
52,30.761
53,31.396
54,31.478
55,31.721
56,31.109
57,31.895
58,30.930
59,31.181
60,30.837
61,31.476
62,32.572
63,31.048
64,32.480
65,33.484
66,33.811
67,31.981
68,32.629
69,32.662
70,32.495
71,31.748
72,32.123
73,32.425
74,32.084
75,33.081
76,32.263
77,32.442
78,31.335
79,31.867
80,32.714
81,32.663
82,35.117
83,31.047
84,32.044
85,32.599
86,33.045
87,32.539
88,32.487
89,32.305
90,31.814
91,33.764
92,32.539
93,31.838
94,31.229
95,31.868
96,31.130
97,31.408
98,31.372
99,30.510
100,31.813
101,31.709
102,31.849
103,33.169
104,31.284
105,31.062
106,32.170
107,31.369
108,31.384
109,32.067
110,31.986
111,31.454
112,32.864
113,32.379
114,33.055
115,33.189
116,31.507
117,31.548
118,33.236
119,31.682
120,31.719
121,31.376
122,32.053
123,31.038
124,31.494
125,30.928
126,30.956
127,31.925
128,31.986
129,31.999
130,31.727
131,32.291
132,31.996
133,33.086
134,31.097
135,30.995
136,32.854
137,31.695
138,33.068
139,31.676
140,31.562
141,32.100
142,33.272
143,32.230
144,32.325
145,32.791
146,31.764
147,32.625
148,33.271
149,32.997
150,32.813
151,33.857
152,31.830
153,34.135
154,31.513
155,33.803
156,32.227
157,33.325
158,32.862
159,31.543
160,31.534
161,32.045
162,31.956
163,32.070
164,32.063
165,31.096
166,31.486
167,31.691
168,44.743
169,35.450
170,33.064
171,31.059
172,31.995
173,32.702
174,30.561
175,33.699
176,31.771
177,31.915
178,31.858
179,32.303
180,31.993
181,32.992
182,33.344
183,31.908
184,33.655
185,30.962
186,34.831
187,31.988
188,31.183
189,31.873
190,32.044
191,31.036
192,32.560
193,32.144
194,31.490
195,31.468
196,32.927
197,34.777
198,34.211
199,33.480
200,33.792
201,34.293
202,32.774
203,36.518
204,32.734
205,33.298
206,33.430
207,32.958
208,35.013
209,35.149
210,33.804
211,34.795
212,33.001
213,32.951
214,32.432
215,32.675
216,32.017
217,31.409
218,32.932
219,32.481
220,33.902
221,32.897
222,31.969
223,33.387
224,37.784
225,36.171
226,31.495
227,31.633
228,31.305
229,32.125
230,34.036
231,35.368
232,32.840
233,31.730
234,31.405
235,33.960
236,31.496
237,32.427
238,31.477
239,32.644
240,32.348
241,35.460
242,34.427
243,33.745
244,31.823
245,34.370
246,31.439
247,32.374
248,30.744
249,32.564
250,32.047
251,32.123
