frame,infer_ms
0,2261.844
1,35.851
2,35.449
3,35.310
4,36.326
5,34.741
6,29.532
7,31.158
8,30.486
9,30.516
10,28.921
11,28.241
12,28.400
13,28.519
14,29.072
15,28.501
16,28.589
17,28.462
18,28.896
19,28.359
20,28.465
21,28.580
22,29.048
23,28.720
24,28.598
25,29.081
26,28.517
27,28.645
28,28.641
29,29.044
30,28.549
31,28.493
32,28.942
33,28.942
34,28.660
35,28.616
36,29.230
37,28.473
38,28.519
39,29.190
40,28.919
41,28.348
42,28.575
43,28.899
44,28.458
45,28.447
46,28.343
47,28.978
48,28.467
49,28.473
50,28.620
51,28.904
52,28.567
53,29.064
54,28.770
55,28.944
56,28.673
57,28.525
58,28.506
59,29.043
60,28.511
61,28.848
62,28.822
63,29.227
64,28.557
65,28.698
66,28.566
67,29.030
68,28.759
69,28.422
70,28.403
71,28.717
72,28.313
73,28.486
74,28.357
75,28.724
76,28.460
77,28.464
78,28.405
79,31.497
80,30.758
81,31.558
82,30.909
83,29.363
84,28.558
85,28.645
86,29.229
87,28.521
88,28.577
89,29.694
90,30.074
91,29.670
92,30.946
93,29.151
94,28.588
95,29.190
96,28.516
97,28.529
98,28.485
99,29.135
100,28.505
101,28.422
102,28.553
103,28.870
104,28.352
105,28.519
106,28.433
107,29.035
108,28.513
109,28.426
110,28.487
111,28.864
112,28.448
113,28.633
114,28.586
115,28.967
116,28.723
117,28.551
118,28.500
119,31.318
120,30.759
121,30.883
122,29.269
123,28.975
124,28.582
125,28.970
126,28.534
127,28.369
128,28.396
129,28.996
130,28.414
131,28.375
132,28.546
133,28.794
134,28.382
135,28.361
136,28.291
137,30.022
138,29.429
139,29.325
140,29.084
141,28.464
142,28.607
143,29.237
144,28.553
145,28.569
146,29.048
147,28.666
148,28.636
149,29.046
150,28.480
151,28.448
152,28.951
153,28.966
154,28.676
155,28.738
156,28.545
157,28.923
158,28.619
159,28.645
160,29.046
161,28.761
162,28.401
163,28.689
164,28.611
165,28.371
166,28.413
167,28.829
168,28.340
169,28.446
170,30.914
171,29.083
172,28.647
173,28.644
174,28.973
175,28.721
176,29.171
177,28.626
178,30.147
179,29.569
180,29.601
181,29.248
182,29.061
183,28.715
184,28.673
185,29.208
186,28.635
187,28.562
188,28.775
189,29.847
190,29.408
191,29.730
192,29.473
193,29.021
194,28.651
195,28.520
196,28.547
197,29.141
198,28.637
199,28.544
200,29.189
201,28.666
202,28.693
203,29.195
204,28.659
205,28.723
206,28.668
207,29.187
208,28.786
209,28.877
210,28.627
211,29.003
212,29.060
213,28.697
214,29.077
215,28.753
216,30.122
217,28.957
218,28.622
219,28.457
220,28.603
221,28.595
222,28.499
223,28.647
224,28.900
225,28.511
226,28.619
227,28.537
228,29.010
229,28.716
230,28.564
231,28.563
232,29.153
233,28.648
234,28.580
235,28.776
236,29.130
237,28.811
238,28.783
239,29.117
240,28.867
241,28.970
242,29.243
243,28.642
244,28.739
245,28.555
246,29.004
247,28.621
248,28.492
249,28.951
250,28.432
251,28.389
252,28.908
253,28.467
254,28.514
255,28.771
256,28.888
257,28.557
258,28.713
259,28.529
260,28.979
261,28.714
262,28.678
263,28.618
264,29.114
265,28.705
266,28.716
267,28.629
268,29.136
269,28.665
270,28.649
271,29.136
272,29.180
273,28.876
274,29.139
275,29.172
276,30.613
277,46.626
278,30.904
279,28.866
280,30.765
281,28.536
282,29.882
283,29.289
284,29.363
285,29.788
286,30.444
287,37.068
288,30.741
289,30.522
290,30.791
291,30.756
292,30.900
293,30.841
294,30.862
295,29.574
296,29.456
297,28.658
298,29.826
299,28.981
300,31.556
301,34.363
302,30.568
303,32.645
304,37.694
305,32.458
306,36.536
307,36.674
308,33.215
309,36.753
310,37.062
311,35.930
312,37.148
313,34.417
314,35.842
315,34.993
316,38.655
317,38.653
318,34.580
319,35.146
320,36.003
321,34.675
322,36.521
323,35.596
324,39.014
325,30.811
326,29.992
327,29.479
328,29.990
329,30.832
330,29.192
331,30.188
332,29.417
333,29.228
334,29.645
335,29.623
336,31.229
337,28.913
338,29.359
339,29.099
340,29.274
341,29.123
342,28.904
343,29.712
344,29.904
345,29.803
346,28.803
347,28.882
348,30.120
349,29.216
350,30.522
351,32.087
352,31.311
353,31.038
354,31.496
355,31.484
356,33.187
357,32.256
358,30.667
359,30.003
360,32.322
361,31.578
362,35.344
363,31.429
364,34.366
365,33.268
366,30.159
367,32.958
368,37.544
369,35.074
370,33.367
371,32.015
372,31.602
373,31.171
374,31.120
375,31.019
376,30.605
377,30.605
378,31.706
379,32.228
380,31.679
381,33.076
382,32.767
383,33.271
384,31.033
385,31.279
386,31.916
387,32.865
388,32.782
389,32.787
390,31.514
391,32.143
392,33.371
393,35.767
394,34.078
395,33.536
396,32.866
397,32.936
398,32.578
399,33.395
400,33.094
401,31.495
402,31.590
403,31.830
404,29.525
405,31.220
406,32.090
407,34.410
408,34.069
409,33.451
410,35.336
411,36.746
412,33.976
413,35.521
414,33.432
415,35.560
